번호,동물_수정,군집1,군집2,군집3,상위어,동의어,성체-새끼,비고,,
1,?,8,,,,,,,,
2,가다랑어,2,5,,"물고기, 생선",,,,,
3,가물치,2,5,,"물고기, 생선",,,,,
4,가오리,2,5,,"물고기, 생선",,,,,
5,가자미,2,5,,"물고기, 생선",,,,,
6,가재,2,7,,,,,,,
7,가젤,1,4,,영양,,,,,
8,갈매기,3,2,,새,,,,,
9,갈치,2,5,,"물고기, 생선",,,,,
10,강아지,5,4,,,,"개, 사냥개, 들개, 골든리트리버, 리트리버, 삽살개, 시츄, 진돗개, 아프리카들개",,,
11,개,5,4,,,,강아지,,,
12,개구리,3,3,,양서류,,올챙이,,,
13,개미,3,1,,벌레,,,,,
14,개미핥기,1,4,,,,,,,
15,개코원숭이,1,6,,원숭이,,,,,
16,거머리,3,1,,벌레,,,,,
17,거미,3,1,,벌레,,,,,
18,거북이,2,3,,,,,,,
19,거위,4,2,,새,,,,,
20,게,2,7,,,,,,,
21,고기,8,,,,,,,,
22,고냥이,5,4,,,고양이,,고양이'의 방언,,
23,고니,3,2,,새,백조,,,,
24,고등어,2,5,,"물고기, 생선",,,,,
25,고라니,3,4,,,,,,,
26,고래,2,4,,,,,,,
27,고릴라,1,6,,,,,,,
29,고슴도치,5,4,,,,,,,
30,고양이,5,4,,,,,,,
31,골든리트리버,5,4,,개,,강아지,,,
32,곰,3,4,,,,,,,
33,곱등이,3,1,,벌레,,,,,
34,공룡,6,3,,,,,,,
35,공작,1,2,,새,,,,,
36,광어,2,5,,"물고기, 생선",,,,,
37,구더기,3,1,,벌레,,파리,파리의 애벌래,,
38,구렁이,3,3,,뱀,,,,,
39,국립공원,8,,,,,,,,
40,굼벵이,3,1,,벌레,,,,,
41,귀뚜라미,3,1,,벌레,,,,,
42,금,8,,,,,,,,
43,금붕어,2,5,,"물고기, 생선",,,,,
44,기니피그,5,4,,,,,,,
45,기러기,3,2,,새,,,,,
46,기린,1,4,,,,,,,
47,까마귀,3,2,,새,,,,,
48,까치,3,2,,새,,,,,
49,까투리,3,2,,새,꿩,,"꿩의 암컷 (Y138, 꿩과 반복)",,
50,꼬끼오,8,,,,,,,,
52,꽁치,2,5,,"물고기, 생선",,,,,
53,꽃게,2,7,,게,,,,,
54,꽃사슴,3,4,,사슴,,,,,
55,꾀꼬리,3,2,,새,,,,,
56,꿩,3,2,,새,까투리,,,,
57,나귀,4,4,,,당나귀,,,,
58,나무늘보,1,4,,,,,,,
59,나방,3,1,,벌레,,애벌레,,,
60,나비,3,1,,벌레,,애벌레,,,
61,낙지,2,7,,,,,,,
62,낙타,1,4,,,,,,,
63,날다람쥐,3,4,,다람쥐,,,,,
64,날치,2,5,,"물고기, 생선",,,,,
65,너구리,3,4,,,,,,,
66,넙치,2,5,,"물고기, 생선",,,,,
67,노루,3,4,,,,,,,
68,노새,4,4,,,,,,,
69,농어,2,5,,"물고기, 생선",,,,,
70,누,1,4,,,,,,,
71,눈표범,1,4,,,표범,,눈표범은 사전에 없음. 표범?,,
72,뉴트리아,1,4,,,,,,,
73,늑대,3,4,,,,,,,
74,다금바리,2,5,,"물고기, 생선",,,,,
75,다람쥐,3,4,,,,,,,
76,다래까우새,8,,,,,,,,
77,다큐,8,,,,,,,,
78,달팽이,3,7,,,,,,,
79,닭,4,2,,새,,병아리,,,
80,담비,3,4,,,,,,,
81,당나귀,4,4,,,,,,,
82,대구,2,5,,"물고기, 생선",,,,,
83,대머리독수리,1,2,,"새, 독수리, 맹금류",,,,,
84,대벌레,3,1,,벌레,,,,,
85,대왕고래,8,,,,,,사전에 없음. '고래'로 수정해야 할지?,,
86,도깨비,8,,,,,,,,
87,도다리,2,5,,"물고기, 생선",,,,,
88,도롱뇽,3,3,,양서류,,,,,
89,도마뱀,3,3,,,,,,,
90,도미,2,5,,"물고기, 생선",돔,,,,
91,도토리,8,,,,,,,,
